,game_id,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,favorite_covered
2768,2011-10-29_Louisville_Syracuse,home,away,2011-10-29,10,27,Syracuse,Louisville,44.5,3.0,U,y,n,-276.2142857142857,220,Louisville_Syracuse,y
2769,2011-10-29_Marshall_UAB,home,away,2011-10-29,14,59,UAB,Marshall,52.0,5.0,O,y,n,-398.10526315789474,415.05263157894734,Marshall_UAB,y
2770,2011-10-29_Michigan State_Nebraska,home,away,2011-10-29,3,24,Michigan State,Nebraska,51.0,4.5,U,y,n,-340,165,Michigan State_Nebraska,y
2771,2011-10-29_Michigan_Purdue,home,away,2011-10-29,14,36,Purdue,Michigan,53.5,14.5,U,y,n,-730.8421052631579,165,Michigan_Purdue,y
2772,2011-10-29_Missouri_Texas A&M,home,away,2011-10-29,38,31,Missouri,Texas A&M,64.5,10.5,O,y,n,-421.2708333333333,500,Missouri_Texas A&M,n
2773,2011-10-29_Navy_Notre Dame,home,away,2011-10-29,14,56,Navy,Notre Dame,62.0,23.5,O,y,n,-1360.6666666666667,1017.0,Navy_Notre Dame,y
2774,2011-10-29_Nevada_New Mexico State,away,home,2011-10-29,48,34,Nevada,New Mexico State,60.5,15.0,O,n,y,-540.32,502.0,Nevada_New Mexico State,n
2775,2011-10-29_North Carolina_Wake Forest,home,away,2011-10-29,24,49,Wake Forest,North Carolina,53.0,6.5,O,y,n,-398.2073170731707,688,North Carolina_Wake Forest,y
2776,2011-10-29_Ohio State_Wisconsin,away,home,2011-10-29,29,33,Wisconsin,Ohio State,49.0,8.5,O,y,n,-380,1141.0740740740741,Ohio State_Wisconsin,n
2777,2011-10-29_Oregon State_Utah,home,away,2011-10-29,8,27,Oregon State,Utah,49.0,4.5,U,y,n,-309.2950819672131,392.8196721311475,Oregon State_Utah,y
2778,2011-10-29_Oregon_Washington State,home,away,2011-10-29,28,43,Washington State,Oregon,70.0,37.5,O,y,n,-180,12820.0,Oregon_Washington State,n
2779,2011-10-29_Rutgers_West Virginia,away,home,2011-10-29,41,31,West Virginia,Rutgers,50.0,6.0,O,y,n,-524.776119402985,786.1044776119403,Rutgers_West Virginia,y
2780,2011-10-29_SMU_Tulsa,home,away,2011-10-29,7,38,SMU,Tulsa,58.5,1.5,U,y,n,-323.8360655737705,588.6229508196722,SMU_Tulsa,y
2781,2011-10-29_San Diego State_Wyoming,home,away,2011-10-29,30,27,Wyoming,San Diego State,57.0,19.0,E,y,n,-725.7692307692307,200,San Diego State_Wyoming,n
2782,2011-10-29_South Carolina_Tennessee,away,home,2011-10-29,14,3,South Carolina,Tennessee,44.0,4.0,U,y,n,-252.21686746987953,446.71084337349396,South Carolina_Tennessee,y
2783,2011-10-29_Southern Miss_UTEP,away,home,2011-10-29,31,13,Southern Miss,UTEP,59.5,10.0,U,y,n,-521.3134328358209,471.5074626865672,Southern Miss_UTEP,y
2784,2011-10-29_Stanford_USC,away,home,2011-10-29,56,48,Stanford,USC,63.0,8.5,O,y,n,-600,1141.0740740740741,Stanford_USC,n
2785,2011-10-06_California_Oregon,home,away,2011-10-06,15,43,California,Oregon,65.5,24.0,U,y,n,-1309,1125,California_Oregon,y
2786,2011-10-07_Boise State_Fresno State,away,home,2011-10-07,57,7,Boise State,Fresno State,58.5,21.0,O,n,y,-855.2,704.6285714285714,Boise State_Fresno State,y
2787,2011-10-08_Air Force_Notre Dame,home,away,2011-10-08,33,59,Air Force,Notre Dame,55.5,14.5,O,y,n,-730.8421052631579,496.3421052631579,Air Force_Notre Dame,y
2788,2011-10-08_Akron_FCS,away,home,2011-10-08,27,17,FCS,Akron,51.5,17.0,U,n,y,-620.0,635.2702702702703,Akron_FCS,n
2789,2011-10-08_Alabama_Vanderbilt,home,away,2011-10-08,0,34,Vanderbilt,Alabama,44.0,29.0,U,y,n,-4525.0,850,Alabama_Vanderbilt,y
2790,2011-10-08_Arizona State_Utah,away,home,2011-10-08,35,14,Arizona State,Utah,49.0,3.0,E,y,n,-160,440,Arizona State_Utah,y
2791,2011-10-08_Arizona_Oregon State,none,none,2011-10-08,27,37,Arizona,Oregon State,60.0,0.0,O,y,n,-120,6000,Arizona_Oregon State,eq
2792,2011-10-08_Arkansas State_Louisiana Monroe,away,home,2011-10-08,24,19,Arkansas State,Louisiana Monroe,55.5,2.5,U,y,n,-378.39325842696627,412.0,Arkansas State_Louisiana Monroe,y
2793,2011-10-08_Arkansas_Auburn,home,away,2011-10-08,14,38,Auburn,Arkansas,65.0,10.0,U,y,n,-521.3134328358209,460,Arkansas_Auburn,y
2794,2011-10-08_Army_Miami OH,away,home,2011-10-08,28,35,Army,Miami OH,48.5,1.0,O,y,n,-180.61666666666667,415.98333333333335,Army_Miami OH,n
2795,2011-10-08_BYU_San Jose State,home,away,2011-10-08,16,29,San Jose State,BYU,51.5,14.5,U,y,n,-730.8421052631579,496.3421052631579,BYU_San Jose State,n
2796,2011-10-08_Ball State_Temple,away,home,2011-10-08,42,0,Temple,Ball State,50.5,9.5,U,y,n,-378.86538461538464,437.7307692307692,Ball State_Temple,y
