,game_id,full_date,spread,ou,ou_total,home,away,match_key,home_score,away_score,fav_side,dog_side,favorite_covered,spread_home_cover,spread_away_cover,ml_fav,ml_dog
566,2023-11-18_Kentucky_South Carolina,2023-11-18,2.0,U,52.0,South Carolina,Kentucky,Kentucky_South Carolina,17,14,away,home,n,y,n,-474.98,1152.84
567,2023-11-18_Liberty_Massachusetts,2023-11-18,26.0,O,64.0,Liberty,Massachusetts,Liberty_Massachusetts,49,25,home,away,n,n,y,-767.8571428571429,3287.8571428571427
568,2023-11-18_Louisiana Lafayette_Troy,2023-11-18,16.0,O,47.5,Troy,Louisiana Lafayette,Louisiana Lafayette_Troy,31,24,away,home,n,n,y,-586.3076923076923,832.8846153846154
569,2023-11-18_Louisville_Miami FL,2023-11-18,1.0,O,46.0,Miami FL,Louisville,Louisville_Miami FL,31,38,home,away,n,n,y,-180.61666666666667,415.98333333333335
570,2023-11-18_Marshall_South Alabama,2023-11-18,10.0,U,45.5,South Alabama,Marshall,Marshall_South Alabama,28,0,away,home,n,y,n,-521.3134328358209,471.5074626865672
571,2023-11-18_Maryland_Michigan,2023-11-18,17.5,O,51.0,Maryland,Michigan,Maryland_Michigan,24,31,away,home,n,y,n,-678.28125,564.25
572,2023-11-18_Memphis_SMU,2023-11-18,9.5,O,64.0,Memphis,SMU,Memphis_SMU,34,38,home,away,n,n,y,-378.86538461538464,437.7307692307692
573,2023-11-18_Middle Tennessee_UTEP,2023-11-18,8.5,O,47.5,Middle Tennessee,UTEP,Middle Tennessee_UTEP,34,30,away,home,n,n,y,-370.22222222222223,1141.0740740740741
574,2023-11-18_Minnesota_Ohio State,2023-11-18,27.5,U,51.5,Ohio State,Minnesota,Minnesota_Ohio State,37,3,away,home,n,y,n,-3594.4117647058824,1418.1176470588234
575,2023-11-18_Mississippi State_Southern Miss,2023-11-18,18.0,O,48.0,Mississippi State,Southern Miss,Mississippi State_Southern Miss,41,20,home,away,y,y,n,-813.6111111111111,666.3888888888889
576,2023-11-18_NC State_Virginia Tech,2023-11-18,2.5,O,41.0,Virginia Tech,NC State,NC State_Virginia Tech,28,35,away,home,y,n,y,-378.39325842696627,412.0
