Team	Rating	v 1-10	v 11-25	v 26-40	Hi	Lo	Last	Season
UTEP 	-7.4	0-0	0-0	0-1	7	90	89	2006
UAB 	-7.6	0-0	0-1	0-1	55	92	90	2006
Baylor 	-7.8	0-0	0-4	0-2	54	92	91	2006
Northwestern 	-8	0-2	0-1	0-2	2	106	92	2006
Kent St 	-8.2	0-0	0-1	0-0	17	119	93	2006
New Mexico St 	-8.2	0-2	0-0	0-1	83	117	94	2006
Indiana 	-8.5	0-2	0-1	0-0	20	102	95	2006
Iowa St 	-9.1	0-0	0-3	1-1	13	100	96	2006
Toledo 	-9.3	0-0	0-0	0-1	3	108	97	2006
Miami OH 	-9.7	0-0	0-0	0-0	6	118	98	2006
Louisiana 	-10.1	0-1	0-0	0-1	69	118	99	2006
Memphis 	-10.5	0-0	0-1	0-0	53	109	100	2006
North Carolina 	-10.6	0-0	0-3	0-3	77	114	101	2006
UCF 	-11.2	0-1	0-0	0-1	11	111	102	2006
UNLV 	-11.4	0-2	0-1	0-2	27	109	103	2006
San Diego St 	-11.7	0-1	0-2	0-1	72	112	104	2006
Army 	-11.9	0-0	0-1	0-2	56	106	105	2006
Bowling Green 	-12.3	0-1	0-1	0-0	8	107	106	2006
Arkansas St 	-12.4	0-0	0-2	0-0	42	111	107	2006
Tulane 	-12.8	0-1	0-1	0-0	55	110	108	2006
Florida Atlantic 	-13	0-0	0-3	0-0	106	119	109	2006
Stanford 	-13.2	0-1	0-1	0-4	82	116	110	2006
E Michigan 	-13.9	0-0	0-0	0-0	5	114	111	2006
N Texas 	-15.8	0-0	0-1	0-0	79	117	112	2006
Duke 	-16.1	0-0	0-2	0-3	88	118	113	2006
Buffalo 	-16.8	0-0	0-3	0-0	11	117	114	2006
Florida Intl 	-18.3	0-0	0-0	0-0	12	118	116	2006
Louisiana Tech 	-21.7	0-2	0-2	0-2	19	118	117	2006
Utah St 	-22.1	0-3	0-1	0-2	70	118	118	2006
Temple 	-24.5	0-1	0-1	0-1	66	119	119	2006
West Virginia 	22.3	1-0	1-1	2-0	1	7	1	2007
Oklahoma 	21.8	2-1	1-1	1-0	1	4	2	2007
LSU 	20.5	2-0	3-1	2-1	1	4	3	2007
USC 	20.2	0-1	3-0	2-0	1	11	4	2007
Florida 	18.5	0-2	1-1	2-1	4	17	5	2007
Kansas 	17.9	0-1	1-0	1-0	4	56	6	2007
Oregon 	17.8	1-0	2-2	1-1	3	29	7	2007
Missouri 	17.6	1-2	2-0	1-0	7	43	8	2007
Ohio St 	16.5	0-1	1-0	3-1	4	24	9	2007
Georgia 	13.7	1-0	1-1	4-1	10	32	10	2007
Cincinnati 	13.6	0-1	2-0	1-1	6	50	11	2007
Virginia Tech 	13.1	0-2	1-0	1-1	7	41	12	2007
Texas 	12.8	0-1	2-0	2-0	8	30	13	2007
S Florida 	12.2	1-1	1-1	1-1	10	61	14	2007
Clemson 	11.9	0-0	0-2	1-1	12	44	15	2007
Arizona St 	11.6	0-2	2-1	1-0	9	46	16	2007
Texas Tech 	11.3	1-1	0-1	0-1	10	43	17	2007
BYU 	11.3	0-0	0-0	3-1	10	34	18	2007
Boise St 	10.7	0-0	0-0	0-1	10	26	19	2007
Oregon St 	9.7	1-1	1-2	1-1	12	47	20	2007
Penn St 	9.7	0-1	0-0	1-3	13	39	21	2007
Auburn 	9.5	1-2	2-1	1-0	11	43	22	2007
Arkansas 	8.9	1-1	0-2	1-2	17	38	23	2007
California 	8.6	1-1	1-2	0-1	5	26	24	2007
Tennessee 	8.5	1-2	1-1	3-1	24	47	25	2007
Utah 	8.2	0-0	0-2	3-0	21	55	26	2007
UCLA 	7.9	1-1	3-2	0-1	7	42	27	2007
Oklahoma St 	7.7	0-3	1-1	0-0	25	53	28	2007
Rutgers 	7.3	0-1	1-1	0-1	11	40	29	2007
Michigan 	7.3	1-2	1-0	2-1	14	75	30	2007
Boston College 	7.1	0-0	2-1	1-0	12	33	31	2007
Kentucky 	6.8	1-2	1-1	1-1	14	59	32	2007
Louisville 	6.7	0-1	1-1	1-2	2	33	33	2007
Hawai'i 	6.3	0-1	1-0	0-0	11	35	34	2007
Alabama 	5.8	0-2	2-1	0-0	19	40	35	2007
Wisconsin 	5.7	0-1	0-2	2-1	8	49	36	2007
South Carolina 	5.6	1-2	0-3	1-0	17	41	37	2007
TCU 	5.2	0-0	0-2	0-1	18	53	38	2007
Michigan St 	5	0-1	1-0	0-3	37	63	39	2007
Illinois 	4.9	1-2	1-0	1-1	34	77	40	2007
Arizona 	4.8	1-1	0-4	1-0	41	72	41	2007
Texas A&M 	4.7	0-3	1-2	1-0	36	52	42	2007
Wake Forest 	4.5	0-0	0-1	0-1	41	57	43	2007
Virginia 	4.5	0-0	0-2	0-0	40	60	44	2007
UConn 	4.2	0-1	1-1	2-0	28	67	45	2007
Washington 	4	0-3	2-2	0-2	27	58	46	2007
Florida St 	3.7	0-1	0-2	2-1	22	48	47	2007
Purdue 	3.6	0-1	0-1	0-2	19	48	48	2007
Kansas St 	3.4	0-2	1-1	0-1	13	53	49	2007
Georgia Tech 	3.1	0-1	1-1	0-1	10	50	50	2007
Maryland 	3	0-1	0-2	2-0	51	69	51	2007
Air Force 	2.7	0-0	0-2	2-0	45	72	52	2007
Nebraska 	1.7	0-3	0-1	0-1	9	62	53	2007
Troy 	1.5	0-2	0-1	1-0	50	90	54	2007
Colorado 	1.3	1-2	1-1	0-1	33	64	55	2007
UCF 	1.2	0-0	0-2	0-0	55	102	56	2007
Tulsa 	0.6	0-1	1-0	0-0	44	78	57	2007
Pittsburgh 	0.4	1-0	1-1	0-3	40	72	58	2007
New Mexico 	0.2	0-0	0-1	0-2	42	62	59	2007
Fresno St 	-0.7	0-1	0-1	0-1	59	77	60	2007
Vanderbilt 	-0.8	0-2	0-2	1-2	56	66	61	2007
Washington St 	-0.9	0-2	0-3	1-1	43	73	62	2007
Mississippi St 	-1.1	0-2	1-2	2-1	61	104	63	2007
Houston 	-1.5	0-1	0-0	0-2	45	67	64	2007
Indiana 	-1.9	0-0	0-1	0-4	45	82	65	2007
Iowa 	-2.2	0-0	0-1	2-1	29	66	66	2007
Southern Miss 	-3.2	0-0	0-3	0-0	49	77	67	2007
E Carolina 	-3.5	0-1	1-1	0-0	68	87	68	2007
Miami 	-4	0-1	0-1	0-1	21	70	69	2007
Ball St 	-4.2	0-0	0-0	0-2	59	90	70	2007
Navy 	-4.6	0-0	0-0	0-2	63	81	71	2007
Stanford 	-4.8	1-1	1-2	0-2	67	97	72	2007
North Carolina 	-5	0-0	0-2	0-1	70	98	73	2007
Mississippi 	-5.6	0-4	0-2	0-1	64	77	74	2007
Colorado St 	-5.9	0-0	0-2	0-2	61	80	75	2007
Wyoming 	-6.2	0-0	0-2	1-1	39	77	76	2007
Nevada 	-6.2	0-0	0-1	0-1	65	87	77	2007
NC State 	-6.7	0-0	0-1	0-2	61	87	78	2007
Notre Dame 	-7.1	0-1	0-1	1-3	48	95	79	2007
C Michigan 	-7.6	0-1	0-1	0-0	74	108	80	2007
Northwestern 	-8	0-1	0-0	1-2	70	93	81	2007
W Michigan 	-8.6	0-2	0-0	0-0	73	94	82	2007
Minnesota 	-8.9	0-1	0-0	0-3	27	87	83	2007
Florida Atlantic 	-9	0-1	0-1	0-2	84	110	84	2007
Middle Tenn 	-9.8	0-1	0-0	0-1	77	104	85	2007
San Diego St 	-10.1	0-0	0-3	0-2	79	103	86	2007
Bowling Green 	-10.3	0-0	0-0	0-2	67	91	87	2007
W Kentucky 	-10.5	0-1	0-0	0-0	84	120	88	2007
Iowa St 	-10.7	0-3	0-2	0-0	87	114	89	2007
UNLV 	-10.8	0-0	0-1	1-3	76	104	90	2007
Ohio 	-11.4	0-0	0-1	0-0	82	97	91	2007
UTEP 	-11.6	0-0	0-1	0-0	72	101	92	2007
UL Monroe 	-11.7	0-0	0-1	1-0	92	112	93	2007
Marshall 	-12	0-1	0-1	0-0	78	109	94	2007
Miami OH 	-12.5	0-0	0-1	0-0	62	98	95	2007
Duke 	-12.9	0-0	0-2	0-0	86	113	96	2007
Buffalo 	-13	0-0	0-1	0-1	89	117	97	2007
Arkansas St 	-13.2	0-0	0-2	0-0	83	114	98	2007
Syracuse 	-13.2	0-1	0-2	1-2	79	113	99	2007
Toledo 	-13.6	0-1	0-0	0-0	79	114	100	2007
San Jose St 	-13.9	0-0	0-2	0-1	88	114	101	2007
Memphis 	-14.1	0-0	0-0	0-0	81	108	102	2007
Akron 	-14.1	0-1	0-0	0-0	80	103	103	2007
Louisiana Tech 	-15	0-1	0-2	0-1	88	112	104	2007
E Michigan 	-15	0-0	0-0	0-1	104	116	105	2007
Baylor 	-15.2	0-2	0-2	0-2	86	107	106	2007
Tulane 	-16.2	0-1	0-0	0-0	106	116	107	2007
Kent St 	-16.3	0-1	0-0	0-1	78	108	108	2007
Utah St 	-16.5	0-1	0-1	0-2	104	117	109	2007
SMU 	-16.6	0-0	0-1	0-1	80	112	110	2007
Rice 	-17.7	0-0	0-2	0-0	96	118	111	2007
Army 	-18	0-0	0-0	0-2	104	113	112	2007
N Illinois 	-18.8	0-0	0-0	0-1	67	117	113	2007
New Mexico St 	-19.2	0-0	0-2	0-1	87	115	114	2007
UAB 	-19.4	0-0	0-0	0-1	95	117	115	2007
Temple 	-19.5	0-0	0-1	0-0	113	119	116	2007
Louisiana 	-19.9	0-0	0-1	0-1	100	118	117	2007
N Texas 	-25	0-1	0-1	0-0	113	120	119	2007
Florida Intl 	-26.6	0-1	0-2	0-0	119	120	120	2007
Florida 	31.5	1-0	3-1	2-0	1	6	2	2008
Oklahoma 	30.2	3-2	2-0	2-0	1	5	1	2008
USC 	29.7	3-0	2-1	0-0	1	7	3	2008
Texas 	25.2	3-1	2-0	0-0	2	15	4	2008
Penn St 	22.9	1-1	1-1	1-0	2	11	5	2008
Ohio St 	17	0-3	0-0	1-0	1	22	8	2008
TCU 	17	0-1	2-1	0-0	6	33	9	2008
Texas Tech 	16.4	1-1	2-1	1-0	6	19	6	2008
Missouri 	16.3	0-2	0-2	1-0	4	12	7	2008
Oregon 	16.3	0-1	3-2	0-0	4	16	11	2008
Boise St 	15.6	1-1	0-0	0-0	10	29	10	2008
Alabama 	15.2	0-1	2-1	2-0	8	27	12	2008
Utah 	14.3	1-0	3-0	0-0	13	31	15	2008
California 	13.5	1-1	0-2	1-0	4	25	14	2008
Oklahoma St 	13.1	1-4	0-0	0-0	7	26	13	2008
Arizona 	12.6	0-2	2-1	0-0	10	40	16	2008
Iowa 	12.3	1-0	0-0	1-2	16	58	17	2008
Oregon St 	11.5	1-2	2-1	1-0	13	64	18	2008
Mississippi 	11.2	2-0	0-1	1-2	19	71	20	2008
Georgia 	10.7	0-1	0-1	3-0	6	20	19	2008
Florida St 	10.4	0-1	0-0	2-2	16	29	21	2008
BYU 	8.3	0-1	0-2	0-0	7	34	22	2008
Kansas 	7.5	1-3	0-0	0-2	10	31	23	2008
Tulsa 	7.4	0-0	0-0	1-0	18	53	32	2008
West Virginia 	6.7	0-0	0-0	4-2	4	50	24	2008
Pittsburgh 	6.7	0-0	2-1	2-2	24	68	27	2008
Nebraska 	6.6	0-3	1-0	1-1	23	54	26	2008
LSU 	6.6	0-1	0-3	1-0	5	37	35	2008
Clemson 	6.4	0-0	0-2	2-2	14	46	25	2008
Rutgers 	6.3	0-0	0-1	3-2	27	86	28	2008
S Florida 	5.2	0-0	1-1	1-3	13	43	34	2008
Michigan St 	5	0-2	1-2	0-0	20	41	30	2008
Virginia Tech 	4.9	0-0	0-1	4-1	18	46	37	2008
North Carolina 	4.8	0-0	0-1	3-1	21	78	33	2008
Cincinnati 	4.3	0-1	1-0	3-2	25	45	31	2008
Boston College 	4	0-0	1-0	2-3	30	49	36	2008
Wake Forest 	4	0-0	2-0	1-1	20	48	41	2008
UConn 	3.5	0-0	0-1	1-4	30	47	42	2008
Ball St 	3.3	0-0	0-1	0-0	22	67	29	2008
South Carolina 	3.2	0-1	1-2	0-2	14	46	40	2008
Miami 	2.7	0-1	0-2	2-1	33	68	47	2008
Arizona St 	2.7	0-2	0-4	0-0	17	57	43	2008
Houston 	2.5	0-0	1-1	0-0	39	75	48	2008
Tennessee 	2.4	0-1	0-2	0-1	24	54	46	2008
Troy 	2.3	0-1	0-1	0-1	24	57	44	2008
Stanford 	2.1	0-3	2-1	0-0	44	80	49	2008
Wisconsin 	2	0-2	0-2	0-1	13	47	39	2008
Georgia Tech 	2	0-0	2-0	2-3	31	65	38	2008
Illinois 	1.9	0-3	1-0	0-0	27	63	45	2008
Notre Dame 	1.4	0-1	0-0	0-4	42	66	55	2008
Vanderbilt 	1.1	0-1	1-1	2-1	39	79	54	2008
Auburn 	1	0-0	0-4	0-1	8	54	52	2008
Northwestern 	0.8	0-2	1-0	0-1	51	76	53	2008
Purdue 	0.7	0-3	0-1	0-1	44	66	51	2008
Navy 	0.5	0-0	0-0	2-3	50	79	50	2008
Southern Miss 	0.1	0-0	0-1	0-0	48	81	57	2008
Kentucky 	0	0-1	0-2	0-1	19	58	58	2008
Baylor 	-0.5	0-4	0-1	0-3	55	110	56	2008
Air Force 	-0.7	0-1	0-2	0-0	48	69	59	2008
Rice 	-0.7	0-1	0-1	0-0	60	108	65	2008
Maryland 	-1.2	0-0	1-1	3-2	44	80	61	2008
E Carolina 	-1.5	0-0	2-0	1-0	36	75	60	2008
Bowling Green 	-2.4	0-0	0-1	1-0	54	79	62	2008
Kansas St 	-2.6	0-3	0-1	0-1	23	66	66	2008
Nevada 	-2.7	0-2	0-1	0-0	60	94	63	2008
NC State 	-2.9	0-0	0-1	2-5	66	105	71	2008
Arkansas 	-3	0-2	1-2	1-1	29	93	72	2008
Virginia 	-3.2	0-1	0-0	1-4	51	109	70	2008
Minnesota 	-3.7	0-1	0-2	0-0	33	71	68	2008
New Mexico 	-3.7	0-1	1-3	0-0	60	86	73	2008
Buffalo 	-3.8	0-1	0-0	1-2	64	100	67	2008
N Illinois 	-3.9	0-0	0-0	0-1	51	89	64	2008
Michigan 	-4.5	0-2	0-1	0-1	35	79	74	2008
W Michigan 	-4.9	0-0	0-0	0-2	61	93	69	2008
Colorado 	-5	0-2	1-3	0-1	34	79	75	2008
Duke 	-5.3	0-0	0-0	0-4	70	96	76	2008
UCLA 	-5.6	0-2	0-4	0-0	37	89	79	2008
Temple 	-6.2	0-1	0-0	0-1	75	105	77	2008
Fresno St 	-6.4	0-0	0-1	1-0	21	80	78	2008
Louisville 	-6.6	0-0	0-1	1-4	32	81	81	2008
C Michigan 	-6.9	0-0	0-1	0-1	76	96	80	2008
Texas A&M 	-7.3	0-3	0-1	0-0	43	88	82	2008
Colorado St 	-7.4	0-1	0-3	0-0	79	107	85	2008
Arkansas St 	-8.2	0-0	0-1	0-0	57	112	87	2008
Akron 	-8.4	0-0	0-0	0-2	76	103	84	2008
Hawai'i 	-8.4	0-1	0-2	0-1	59	101	83	2008
Memphis 	-8.5	0-0	0-1	0-1	86	102	86	2008
UTEP 	-8.7	0-1	0-1	0-0	80	113	88	2008
Mississippi St 	-8.7	0-0	0-2	0-1	61	89	89	2008
Louisiana Tech 	-9.4	0-0	0-2	0-0	90	106	92	2008
Florida Atlantic 	-9.8	0-1	0-0	0-1	89	103	94	2008
Louisiana 	-9.9	0-0	0-0	0-0	75	116	91	2008
Marshall 	-10	0-0	0-2	0-1	86	103	93	2008
Ohio 	-10.1	0-1	0-0	0-0	78	99	90	2008
Iowa St 	-10.4	0-1	0-3	0-1	67	96	95	2008
UNLV 	-10.6	0-1	0-2	0-0	78	101	96	2008
Middle Tenn 	-10.9	0-0	0-0	0-0	73	101	97	2008
UCF 	-11.4	0-0	0-1	0-2	62	108	98	2008
Florida Intl 	-12.2	0-0	0-2	0-1	91	118	100	2008
San Jose St 	-12.3	0-0	0-1	0-1	87	114	99	2008
Syracuse 	-12.5	0-1	0-1	0-5	93	114	101	2008
Kent St 	-13.3	0-0	0-0	0-2	100	112	102	2008
Toledo 	-13.5	0-0	0-1	0-1	67	104	103	2008
Washington 	-13.8	0-3	0-4	0-0	40	104	104	2008
UAB 	-14.3	0-0	0-1	0-1	102	115	107	2008
Utah St 	-14.4	0-1	0-3	0-0	105	117	105	2008
Indiana 	-14.9	0-1	0-1	0-2	55	107	106	2008
UL Monroe 	-15.9	0-0	0-1	0-0	95	111	109	2008
E Michigan 	-16.4	0-0	0-0	0-2	80	116	108	2008
Army 	-16.6	0-0	0-0	0-1	106	120	110	2008
Wyoming 	-16.8	0-1	0-2	0-0	85	118	111	2008
Miami OH 	-18.2	0-0	0-0	0-2	86	113	112	2008
W Kentucky 	-18.5	0-0	0-1	0-2	95	113	113	2008
SMU 	-18.6	0-2	0-1	0-0	112	118	114	2008
San Diego St 	-20.3	0-1	0-2	0-0	90	117	116	2008
New Mexico St 	-20.5	0-0	0-1	0-1	103	116	115	2008
Tulane 	-20.7	0-0	0-2	0-1	79	117	117	2008
Washington St 	-23.8	0-2	0-4	0-0	63	118	118	2008
N Texas 	-30.6	0-0	0-1	0-1	118	120	120	2008
Texas 	26.3	2-1	1-0	1-0	1	3	1	2009
Florida 	26.1	0-1	4-0	2-0	1	2	2	2009
Alabama 	22.9	3-0	4-0	1-0	3	11	4	2009
Oklahoma 	21.5	0-2	1-3	1-0	2	4	3	2009
TCU 	20.8	0-1	2-0	2-0	3	18	5	2009
Virginia Tech 	18.7	1-1	2-1	0-1	6	23	6	2009
Boise St 	16.7	2-0	0-0	0-0	4	10	8	2009
Nebraska 	16.2	1-2	0-1	1-0	5	27	11	2009
Ohio St 	15.8	1-0	2-1	1-0	7	16	10	2009
Oregon 	15.7	0-2	1-1	4-0	5	31	7	2009
Texas Tech 	14.8	2-1	0-0	0-2	8	27	9	2009
Penn St 	13.4	0-1	1-1	0-0	5	17	12	2009
Arkansas 	12.2	0-2	0-2	1-1	13	63	15	2009
Cincinnati 	12.2	0-1	1-0	2-0	9	63	13	2009
Georgia Tech 	12	1-0	2-2	2-1	13	51	14	2009
LSU 	11.9	0-2	1-2	2-0	16	31	18	2009
Clemson 	11.8	0-1	1-2	1-0	11	30	17	2009
USC 	11.8	1-1	0-1	3-1	2	18	16	2009
Mississippi 	11	0-1	3-0	1-1	11	25	21	2009
BYU 	11	1-1	0-0	3-1	5	31	27	2009
Miami 	10.9	1-1	1-1	1-2	19	38	19	2009
Pittsburgh 	10.5	0-0	0-1	3-0	17	43	20	2009
Stanford 	10.1	1-1	1-0	1-3	18	52	22	2009
Tennessee 	9.3	0-3	0-1	1-1	17	46	23	2009
Iowa 	9.1	0-1	2-0	2-0	12	55	29	2009
Oklahoma St 	8.3	0-2	1-1	1-1	12	32	26	2009
Oregon St 	8	0-1	1-3	1-1	24	60	24	2009
Georgia 	8	0-1	2-2	1-1	16	45	32	2009
Arizona 	7.8	0-2	2-1	2-1	13	38	25	2009
Wisconsin 	7.5	0-1	1-1	0-0	30	56	33	2009
Air Force 	7.3	0-1	0-1	1-1	30	65	43	2009
Auburn 	7.2	0-1	2-2	0-1	19	40	30	2009
Utah 	7.1	0-2	0-1	2-0	15	40	36	2009
Houston 	6.9	0-0	1-0	1-1	21	49	28	2009
UConn 	6.5	0-0	0-2	1-1	35	62	39	2009
Notre Dame 	6	0-0	0-3	0-1	14	38	37	2009
North Carolina 	6	1-0	1-2	1-1	34	66	40	2009
C Michigan 	5.8	0-0	0-0	0-1	32	69	34	2009
Florida St 	5.5	0-1	1-3	1-0	24	60	46	2009
California 	5.2	0-1	1-1	1-2	5	41	35	2009
Boston College 	5.1	0-1	0-2	2-2	21	50	41	2009
Missouri 	5	0-2	0-0	0-1	8	43	31	2009
West Virginia 	4.7	0-0	1-1	1-2	29	58	42	2009
South Carolina 	4.5	0-2	2-2	0-2	35	53	44	2009
Rutgers 	4.4	0-0	0-2	1-0	32	67	49	2009
Kansas 	4.1	0-3	0-1	0-0	12	46	45	2009
Kentucky 	4	0-2	0-2	2-0	41	67	47	2009
Michigan St 	3.9	0-0	0-3	0-3	31	49	48	2009
Navy 	3.4	0-1	0-1	2-0	35	60	57	2009
S Florida 	3.2	0-0	0-3	1-1	23	57	55	2009
UCLA 	2.8	0-1	1-2	0-3	45	61	50	2009
Nevada 	2.4	0-1	0-0	0-1	38	94	38	2009
E Carolina 	2.4	0-1	0-1	1-1	51	81	54	2009
Arizona St 	2.2	0-1	0-2	0-4	22	54	52	2009
Mississippi St 	2.1	0-2	1-3	0-2	53	104	53	2009
Texas A&M 	1.6	0-2	1-1	0-2	39	78	51	2009
Washington 	1.2	0-1	1-2	2-2	56	91	56	2009
Wake Forest 	1.1	0-0	1-3	0-1	43	63	59	2009
Southern Miss 	0.7	0-0	0-0	0-1	28	63	58	2009
Purdue 	-0.1	1-1	0-0	0-2	38	66	61	2009
Michigan 	-0.8	0-1	0-2	1-1	33	64	63	2009
Middle Tenn 	-1.1	0-0	0-1	0-0	62	91	69	2009
Minnesota 	-1.1	0-1	0-2	1-2	52	66	65	2009
Fresno St 	-1.2	0-1	0-1	0-1	38	73	60	2009
Kansas St 	-1.4	0-2	0-1	0-0	62	92	64	2009
Troy 	-1.5	0-1	0-1	0-1	63	79	68	2009
Baylor 	-2	0-3	0-1	0-2	49	70	66	2009
UCF 	-2	0-1	0-1	1-0	61	102	62	2009
Northwestern 	-2.5	0-0	1-1	1-1	55	82	72	2009
Tulsa 	-2.7	0-2	0-0	0-1	19	71	70	2009
NC State 	-3	0-1	1-1	1-1	45	76	74	2009
Iowa St 	-3.1	1-0	0-1	0-1	60	101	71	2009
N Illinois 	-3.2	0-0	0-0	0-2	60	82	67	2009
Temple 	-3.3	0-0	0-1	0-0	66	113	73	2009
Virginia 	-3.4	0-2	0-3	1-0	58	103	77	2009
Louisiana Tech 	-3.4	0-1	0-1	0-1	75	95	75	2009
Vanderbilt 	-3.7	0-1	0-4	0-1	36	78	78	2009
Colorado 	-3.7	0-2	0-0	0-1	67	87	76	2009
Illinois 	-4.5	0-1	0-2	0-0	57	90	81	2009
Ohio 	-4.9	0-0	0-1	0-2	73	98	79	2009
Bowling Green 	-5.1	0-1	0-0	0-1	63	85	80	2009
Duke 	-5.7	0-1	0-2	0-1	70	110	82	2009
SMU 	-6.1	0-1	0-0	0-1	83	111	90	2009
Louisville 	-6.2	0-0	0-2	0-2	64	84	83	2009
Buffalo 	-7.2	0-0	0-1	0-1	66	99	84	2009
Indiana 	-7.5	0-1	0-2	0-1	77	112	85	2009
Marshall 	-7.6	0-1	0-0	0-0	82	112	87	2009
Syracuse 	-7.8	0-0	0-3	0-1	76	101	86	2009
Maryland 	-8	0-1	1-0	0-2	74	107	88	2009
UAB 	-8.8	0-0	0-1	0-0	68	104	89	2009
Arkansas St 	-9.3	0-1	0-1	0-0	60	94	93	2009
UTEP 	-9.4	0-1	0-0	1-0	79	98	91	2009
UL Monroe 	-9.5	0-1	0-0	0-0	70	103	92	2009
Utah St 	-10.1	0-1	0-1	0-1	84	110	94	2009
Colorado St 	-10.4	0-1	0-1	0-2	68	96	95	2009
Wyoming 	-10.7	0-2	0-1	0-2	96	113	99	2009
W Michigan 	-11	0-0	0-0	0-1	81	101	96	2009
UNLV 	-11	0-1	0-1	0-3	74	108	97	2009
Kent St 	-12.3	0-0	0-0	0-0	90	114	98	2009
San Diego St 	-12.4	0-1	0-1	0-2	93	110	102	2009
Toledo 	-13	0-1	0-0	0-1	75	105	101	2009
Florida Atlantic 	-13.1	0-1	0-0	0-0	101	114	104	2009
Hawai'i 	-13.2	0-1	0-0	0-1	80	110	103	2009
Florida Intl 	-13.9	0-2	0-0	0-0	88	107	106	2009
Memphis 	-14.4	0-0	0-2	0-1	86	113	105	2009
Ball St 	-14.7	0-0	0-0	0-2	62	111	107	2009
Louisiana 	-14.7	0-1	0-1	0-0	83	111	109	2009
Akron 	-14.8	0-0	0-1	0-1	67	109	108	2009
Army 	-15.1	0-0	0-0	0-1	89	112	110	2009
New Mexico 	-17.5	0-1	0-2	0-2	76	116	111	2009
N Texas 	-18.3	0-1	0-0	0-0	112	119	112	2009
Miami OH 	-19.6	0-1	0-1	0-0	111	118	113	2009
Washington St 	-20.9	0-1	0-2	0-4	111	116	114	2009
San Jose St 	-21.5	0-1	0-2	0-1	97	115	115	2009
Rice 	-22.2	0-0	0-1	0-2	69	117	116	2009
W Kentucky 	-23.4	0-0	0-1	0-0	117	120	117	2009
Tulane 	-24	0-0	0-2	0-1	115	119	119	2009
E Michigan 	-24.1	0-0	0-1	0-1	102	119	118	2009
New Mexico St 	-25.8	0-2	0-0	0-0	118	120	120	2009
Oregon 	26.8	1-1	1-0	4-0	1	7	1	2010
Boise St 	26.3	0-0	2-1	2-0	1	6	2	2010
TCU 	23.3	1-0	1-0	2-0	2	5	3	2010
Stanford 	22.5	0-1	2-0	5-0	4	45	4	2010
Alabama 	22.1	1-1	1-2	1-0	2	10	6	2010
Ohio St 	20.5	1-1	1-0	2-0	2	6	5	2010
Auburn 	19.5	3-0	4-0	2-0	7	26	7	2010
Oklahoma 	18.2	0-0	3-2	1-0	5	14	8	2010
Wisconsin 	15.7	1-1	1-0	1-0	9	40	9	2010
Arkansas 	15.6	0-3	4-0	1-0	9	24	11	2010
Oklahoma St 	15.2	0-1	1-1	1-0	11	52	13	2010
Virginia Tech 	14.4	0-2	1-0	2-0	8	41	10	2010
LSU 	13.5	1-2	3-0	1-0	8	23	17	2010
Florida St 	12.9	0-1	2-1	3-1	10	48	16	2010
Missouri 	12.6	1-0	1-2	1-0	9	35	14	2010
Nebraska 	12.5	0-1	2-1	0-0	5	16	12	2010
South Carolina 	12.3	1-3	2-1	1-0	10	28	15	2010
Florida 	12.1	0-1	1-3	0-1	2	18	18	2010
Nevada 	10.7	1-0	0-0	1-1	14	54	19	2010
Georgia 	10.6	0-2	0-2	0-1	9	29	20	2010
Utah 	9.9	0-2	0-0	2-1	6	38	23	2010
Texas A&M 	9.8	1-1	1-3	0-0	20	44	21	2010
USC 	9.6	0-2	0-0	4-2	14	29	24	2010
Iowa 	9.5	0-2	1-0	0-1	11	47	25	2010
West Virginia 	9.2	0-0	0-1	2-1	13	37	22	2010
Mississippi St 	9.1	0-3	2-1	0-0	25	51	33	2010
NC State 	8.6	0-0	2-1	0-2	26	80	29	2010
Arizona 	8.3	0-2	1-2	1-2	12	39	26	2010
Miami 	7.9	0-1	0-2	3-1	9	30	27	2010
Oregon St 	7.7	0-4	1-0	3-0	18	34	28	2010
Arizona St 	7.5	0-3	0-1	1-2	30	66	30	2010
Notre Dame 	7.4	0-1	2-0	2-0	30	58	36	2010
Pittsburgh 	7.2	0-0	0-2	0-2	27	56	34	2010
Clemson 	6.4	0-1	0-2	2-1	19	36	32	2010
California 	6.2	0-2	0-2	1-2	12	44	37	2010
N Illinois 	5.8	0-0	0-0	0-1	34	97	39	2010
Air Force 	5.3	0-2	0-1	0-0	17	42	38	2010
Maryland 	5	0-0	0-2	1-2	38	81	41	2010
Illinois 	4.9	0-1	0-1	1-0	37	75	40	2010
Hawai'i 	4.7	0-1	1-1	0-0	31	88	31	2010
Michigan St 	4.7	1-1	0-1	2-0	27	48	35	2010
UCF 	4.3	0-0	1-0	0-1	39	71	43	2010
North Carolina 	3.8	0-0	1-2	1-2	23	43	42	2010
Tennessee 	3.4	0-2	0-4	0-0	21	61	44	2010
BYU 	3	0-1	0-3	0-1	20	75	52	2010
San Diego St 	2.8	0-1	0-2	1-0	46	101	54	2010
Texas 	2.7	0-1	1-2	0-0	3	49	45	2010
Louisville 	2.6	0-0	0-1	0-2	44	77	46	2010
Texas Tech 	2.3	0-1	1-2	0-0	11	55	47	2010
Tulsa 	2.1	0-0	0-1	2-0	50	81	60	2010
Kentucky 	1.9	0-1	1-2	0-2	23	51	50	2010
